Video ID,Frames,FPS
TZ860P4iTaM_11_20,135.0,14
71soiLO6I9U_15_24,135.0,14
j2Dhf-xFUxU_20_29,136.0,15
g9aZcaEg7iY_0_9,136.0,15
Wnz3IevSNg0_1_8,136.0,25
GPT4vUwlrXY_1_10,136.0,15
1TjqADyYyxI_36_45,136.0,15
yC4eEuURH8c_19_28,136.0,15
MTjrZthHwJQ_2_11,136.0,15
05Gtb7_9tLU_0_9,136.0,15
RMznbCn5sQs_0_10,140.0,13
JIoiUNOXGaI_34_41,141.0,20
TvBsaMgqh5s_61_68,141.0,20
wpUT0DNB3qs_9_19,141.0,14
Q6HuQEIJqcA_9_16,141.0,20
CL49s8bO6Fg_1_11,143.0,15
lGk1MA6YP-M_36_48,144.0,11
6JnGBs88sL0_4_10,144.0,23
ZvJvNcukZ4w_0_10,144.0,15
8CzlhZtunNc_5_11,144.0,23
E6sqA9QtV5I_195_201,144.0,23
bK-i_FAcpoY_86_92,144.0,23
kKGehSw5ht8_39_45,144.0,23
Tm1HjqK0ABg_9_15,144.0,23
xxHx6s_DbUo_216_222,144.0,23
NNYLo1OeZ-Q_48_54,144.0,23
gtixLEvO2Us_0_6,145.0,24
aJoDt4DMkFU_118_124,145.0,24
XzCcRzEa83U_39_46,146.0,25
6RlYLTU5gvM_18_24,149.0,49
hcCLIzzB1jQ_1_7,149.0,25
9Wr48VFhZH8_45_50,150.0,29
Je3V7U5Ctj4_760_765,150.0,29
PeUHy0A1GF0_68_73,150.0,29
Je3V7U5Ctj4_582_587,150.0,29
qew09qQgMAg_22_27,150.0,29
Je3V7U5Ctj4_558_563,150.0,29
PqvKNqkGI9o_47_52,150.0,29
u9prcUCHlqM_235_241,150.0,24
Je3V7U5Ctj4_634_639,150.0,29
uGDuIyfJXXg_23_33,150.0,14
Lt1JijkvSKk_0_10,150.0,14
nZSFn51l3hc_480_485,150.0,29
G_hxdUG6QXE_23_28,150.0,29
IiIiY6o-C9k_59_64,150.0,29
H1Bok7Dg7g8_21_26,150.0,29
tJHUH9tpqPg_113_118,150.0,29
IhwPQL9dFYc_124_129,150.0,29
DKZg4kIEa0A_31_36,150.0,29
NjCqtzZ3OtU_62_67,150.0,29
pqTWUzehCUM_42_47,150.0,29
KPPCwmU5OHQ_467_472,150.0,29
qIk_Dz5XE5E_104_109,150.0,29
KrBeBabazDU_15_20,150.0,29
Kxa0mnDj0bs_15_20,150.0,29
qhknaG9ifbs_122_127,150.0,29
Goj131_GxYs_2_7,150.0,29
o_mWZWcm2r4_10_15,150.0,29
PeUHy0A1GF0_122_127,150.0,29
qBFSt85-xqk_15_20,150.0,29
pzq5fPfsPZg_51_57,150.0,24
Je3V7U5Ctj4_768_773,150.0,29
Je3V7U5Ctj4_956_961,150.0,29
PD6eQY7yCfw_32_37,150.0,29
ACOmKiJDkA4_49_54,150.0,29
r4qv_BNlQNk_93_98,150.0,29
PAm82v0AMFc_5_10,150.0,29
r4qv_BNlQNk_119_124,150.0,29
ID2xXlUENG0_19_24,150.0,29
HM-ZDoRWiH4_0_5,150.0,29
nd0ToNwccl4_12_17,150.0,29
EBWPZIjtnTM_1_6,150.0,29
JledeVyklPw_1_6,150.0,29
Aa7yf9XtcJM_45_50,150.0,29
G6w6kO8UPyg_31_41,150.0,14
EVqc7e8JCco_5_15,150.0,14
JktNQQnLblQ_4_9,150.0,29
UXs3eq68ZjE_280_285,150.0,29
9LHg5RUGukI_63_68,150.0,29
jv-eV6jR3Qw_7_12,150.0,29
3FnUTQMJVXI_31_36,150.0,29
jmoT2we_rqo_0_5,150.0,29
jdAbpLooDgM_10_15,150.0,29
Z10_CDPQKKs_1_6,150.0,29
2YhDTpzxd3c_240_245,150.0,29
k-SWy-sU8cE_5_10,150.0,29
2YhDTpzxd3c_22_27,150.0,29
2YhDTpzxd3c_115_120,150.0,29
_6OTzzK7t9Y_73_78,150.0,29
y8SDRc4IOjs_94_99,150.0,29
1qU-kF-km1Q_6_16,150.0,14
_WRC7HXBJpU_386_391,150.0,29
aGUx0QOKWXw_7_12,150.0,29
2YhDTpzxd3c_149_154,150.0,29
1RchFBCT9JU_43_53,150.0,14
YRSOc193Pxc_68_73,150.0,29
4_WZN7uW0NY_140_145,150.0,29
VF1K_6ZSOAY_23_28,150.0,29
VahnQw2gTQY_288_293,150.0,29
VahnQw2gTQY_315_320,150.0,29
VahnQw2gTQY_322_327,150.0,29
5fDBl1wT2Lk_34_39,150.0,29
5QJf-l4lPJw_133_138,150.0,29
Wv3u2q3oGeU_35_45,150.0,14
WPG-BIWOrG4_608_613,150.0,29
WPG-BIWOrG4_672_677,150.0,29
WTf5EgVY5uU_130_135,150.0,29
WTf5EgVY5uU_18_23,150.0,29
Pr5LQq42l4M_12_17,150.0,29
kquB3rIgfGk_640_645,150.0,29
kquB3rIgfGk_197_202,150.0,29
WPG-BIWOrG4_635_640,150.0,29
yYA7YXIKbg4_9_14,150.0,29
0lh_UWF9ZP4_82_87,150.0,29
0lh_UWF9ZP4_21_26,150.0,29
hJFBXHtxKIc_118_123,150.0,29
cs33MNhpRNw_16_21,150.0,29
-wa0umYJVGg_271_276,150.0,29
dtn0PuxgfkM_0_5,150.0,29
-mAoVOhKy0c_4_9,150.0,29
ge7OOILJA6U_20_25,150.0,29
hJFBXHtxKIc_163_168,150.0,29
-bjOB4zS0uE_100_105,150.0,29
eVSQiPbepXg_83_93,150.0,14
zhLcONtNkew_16_21,150.0,29
fr9H1WLcF1A_256_261,150.0,29
fF89MasBFLw_321_326,150.0,29
-9CUm-2cui8_39_44,150.0,29
fMXfphSi6Yw_7_12,150.0,29
gHyXstpe_N8_95_100,150.0,29
cUW_bXll6YM_390_395,150.0,29
hJFBXHtxKIc_204_209,150.0,29
hJFBXHtxKIc_225_230,150.0,29
hbE29pZh76I_3_8,150.0,29
0lh_UWF9ZP4_165_170,150.0,29
hW8TKz2Aea4_40_50,150.0,14
0hyZ__3YhZc_632_637,150.0,29
0hyZ__3YhZc_598_603,150.0,29
0hyZ__3YhZc_575_580,150.0,29
hNECyt6Bo0A_5_10,150.0,29
0hyZ__3YhZc_485_490,150.0,29
c2MwqFYVE7A_40_45,150.0,29
hJFBXHtxKIc_317_322,150.0,29
hJFBXHtxKIc_310_315,150.0,29
hJFBXHtxKIc_298_303,150.0,29
cCmnN96zIeQ_14_24,150.0,14
0hyZ__3YhZc_302_307,150.0,29
hJFBXHtxKIc_286_291,150.0,29
lSnWhsmlGec_5_10,150.0,29
lb8J2zCQTlo_3_8,150.0,29
qeKX-N1nKiM_0_5,150.0,29
8MVo7fje_oE_139_144,150.0,29
8MVo7fje_oE_166_171,150.0,29
6owu8Mow0_g_384_389,150.0,29
lfGlDg47How_93_98,150.0,29
6owu8Mow0_g_692_697,150.0,29
8MVo7fje_oE_153_158,150.0,29
8MVo7fje_oE_125_130,150.0,29
6owu8Mow0_g_850_855,150.0,29
8MVo7fje_oE_113_118,150.0,29
8MVo7fje_oE_108_113,150.0,29
6t0BpjwYKco_105_110,150.0,29
8MVo7fje_oE_180_185,150.0,29
UXs3eq68ZjE_508_513,150.0,29
lsanQj2yacs_80_85,150.0,29
6t0BpjwYKco_200_205,150.0,29
UXs3eq68ZjE_209_214,150.0,29
UXs3eq68ZjE_382_387,150.0,29
UXs3eq68ZjE_320_325,150.0,29
UXs3eq68ZjE_313_318,150.0,29
UXs3eq68ZjE_235_240,150.0,29
UXs3eq68ZjE_250_255,150.0,29
Hd-NeIhbYGc_43_48,150.0,29
6t0BpjwYKco_71_76,150.0,29
UXs3eq68ZjE_49_54,150.0,29
8MVo7fje_oE_85_90,150.0,29
UXs3eq68ZjE_255_260,150.0,29
6owu8Mow0_g_275_280,150.0,29
Qtu-PXuvCx4_12_17,150.0,29
Qwn0Ni9G5ow_64_69,150.0,29
R2DvpPTfl-E_20_25,150.0,29
RQYLGNbal2c_5_10,150.0,29
98Alrg4pFXs_148_153,150.0,29
QT8iCDc7NGU_18_23,150.0,29
lfGlDg47How_110_115,150.0,29
9LHg5RUGukI_58_63,150.0,29
8PQiaurIiDM_94_99,150.0,29
6owu8Mow0_g_302_307,150.0,29
6vSKIUGGLvY_81_87,151.0,25
gIvetX_oXeI_85_90,151.0,30
77iDIp40m9E_3_9,151.0,25
HDcIB1e9s5A_28_34,151.0,25
q3I3R_gqy8M_73_79,151.0,25
HJHPB_Y8GZE_22_28,151.0,25
za-9mBZyNfQ_330_336,151.0,25
tcxhOGyrCtI_15_21,151.0,25
fVWUaH2mCt4_1_7,151.0,25
9uDPqigcnzw_36_46,151.0,15
nCtZFOYAlvQ_44_49,151.0,30
edqyq4Q-7uU_103_109,151.0,25
tZmDWltBziM_42_47,151.0,30
S-Civm_fbK8_20_26,151.0,25
7_XASfcYdBk_3_13,151.0,15
Tied-t1fFsk_15_20,151.0,30
ItFqogTmAvQ_240_246,151.0,25
z2kUc8wp9l8_40_46,151.0,25
RSx5G0_xH48_12_17,151.0,30
zCf8NWJ8kzA_47_52,151.0,30
dc4UltkRJsw_53_59,151.0,25
-vg3vR86fu0_1_6,151.0,30
BtQEY2SL4g4_126_132,151.0,25
bLqmf8x7rLI_2_8,151.0,25
dfOuTx66bJU_34_39,151.0,30
uppFvcVwqqY_5_15,151.0,15
m1NR0uNNs5Y_73_78,151.0,30
n_Z0-giaspE_437_447,151.0,15
Fe4tO5vW9_E_64_70,151.0,25
uqVCk2oDpSE_194_200,151.0,25
SzEbtbNSg04_111_117,151.0,25
Rq_VfjGH7kg_104_110,151.0,25
ItFqogTmAvQ_389_395,151.0,25
BtQtRGI0F2Q_15_20,151.0,30
229NvV0SRHw_0_5,151.0,30
jI58q6rcNLc_8_18,151.0,15
BIqVvRh_cEY_143_149,151.0,25
tBj4Ny19vfQ_54_59,151.0,30
BOv-2HzNPaA_7_12,151.0,30
NFxWwI0J3As_78_84,151.0,25
lB1UPJ4leqs_0_6,151.0,25
W8l_ezoU8Lc_156_162,151.0,25
D1tTBncIsm8_248_254,151.0,25
LLkehH86ABY_30_36,151.0,25
Cxxx6wJ1jNo_0_10,151.0,15
5U3xz9Ovmhk_99_105,151.0,25
LacBy2NT3YQ_12_17,151.0,30
5U3xz9Ovmhk_9_15,151.0,25
lKADopH3qFY_0_10,151.0,15
6gQu8PWhFoQ_30_35,151.0,30
CHFXTeQWXjo_206_212,151.0,25
lc9bA-hvqHU_1_6,151.0,30
CBD9h0jUq3w_1_7,151.0,25
LyYJiKxHZz0_0_10,151.0,15
6ZZkO14S7GY_5_15,151.0,15
swJ0zhVJ8DU_15_21,151.0,25
V4q5dQmpxIE_20_30,151.0,15
6sKdTbRkahM_6_12,151.0,25
xgIIcPSh4EU_0_6,151.0,25
pQYEZTwSVbQ_12_18,151.0,25
x_7BrCQdVUs_172_177,151.0,30
jlahRlo4jlU_30_36,151.0,25
rw9h_574HxE_127_133,151.0,25
vz71JKcpeUU_0_10,151.0,15
2jkExrrm_sQ_19_25,151.0,25
Ayh26v6Nies_17_22,151.0,30
3SKyc0aKx70_46_52,151.0,25
Y4gaJn0wlDE_0_10,151.0,15
q-a6NEotUX8_5_10,151.0,30
47D9-U8hn5I_11_16,151.0,30
NVGGgncVq-4_111_117,151.0,25
VLBsAPZ2DDE_58_64,152.0,25
z8dcUzdi2bw_3_16,157.0,12
LqPIBHAmt4E_22_30,161.0,20
C_1cnNdMwxY_0_8,161.0,20
sZf3VDsdDPM_107_114,162.0,23
dMH0bHeiRNg_3_14,165.0,14
cwkjJrGpoaU_30_41,165.0,14
k06Ge9ANKM8_5_16,166.0,15
3doK4FQM5-k_46_57,166.0,15
clpgffj3sUw_1_12,166.0,15
Z8rTzW9Gb6Y_116_123,168.0,23
zulPFoY64wE_26_33,168.0,23
UqBafx3iRKw_22_29,168.0,23
ViWQUOGIaSU_9_16,168.0,23
4MjTb5A68VA_111_118,168.0,23
xxHx6s_DbUo_49_56,168.0,23
xxHx6s_DbUo_121_128,168.0,23
T6lPRKRpu9w_32_39,168.0,23
qLwgb3F0aPU_298_305,168.0,23
Ffv7fhL1EDY_177_184,168.0,23
QhRqJp-CgEs_7_14,169.0,24
De815YpTBic_41_48,169.0,24
r2PM0om2El8_18_25,169.0,24
E4k0Aylzdyo_97_104,169.0,24
shPymuahrsc_5_12,169.0,24
HN-ccxID8IM_3_10,169.0,24
u9prcUCHlqM_73_80,175.0,24
zS50h-a8RTg_3_9,175.0,29
Jj4uYHr65H8_28_35,176.0,25
INDhUwDMg-4_220_227,176.0,25
W1052h2rzoA_91_98,176.0,25
i3fd4nE8OCI_174_181,176.0,25
ao-9B8IV9_E_37_44,176.0,25
nrZyPuRd5pU_85_92,176.0,25
m4D72WXFd8s_557_564,176.0,25
XzCcRzEa83U_1_8,176.0,25
Lr8ds5iY5uk_8_15,176.0,25
hksxtbcS780_7_14,176.0,25
f_CvW22Eauc_16_23,176.0,25
6r5DmFa5ZR8_51_58,176.0,25
53dc4z7HLyg_16_23,176.0,25
5U3xz9Ovmhk_258_265,176.0,25
wkgGxsuNVSg_34_41,176.0,25
7bcV-TL9mho_0_7,176.0,25
8BL9qmFRbd4_6_13,176.0,25
rw9h_574HxE_229_236,176.0,25
4VLrxtf7Z_8_0_7,176.0,25
-zOrV-5vh1A_69_76,176.0,25
rw9h_574HxE_59_66,176.0,25
BefkDBj5gSw_233_240,176.0,25
CcvJs77L-e8_15_22,176.0,25
D1tTBncIsm8_198_205,176.0,25
D1tTBncIsm8_681_688,176.0,25
D9I1Z6O_mbw_112_119,176.0,25
AKVBK-0veE8_5_12,176.0,25
3zrVqwV29V8_69_76,176.0,25
D1tTBncIsm8_841_848,176.0,25
25NmudB2fqg_0_7,176.0,25
VLBsAPZ2DDE_34_41,177.0,25
zxB4dFJhHR8_1_9,179.0,25
0lh_UWF9ZP4_191_197,180.0,29
inLBPVG8oEU_18_24,180.0,29
tzd3AYTZq0U_0_6,180.0,29
_WRC7HXBJpU_395_401,180.0,29
OfgSCMxttCc_86_92,180.0,29
ACOmKiJDkA4_75_81,180.0,29
0lh_UWF9ZP4_71_77,180.0,29
ACOmKiJDkA4_20_26,180.0,29
nZSFn51l3hc_660_666,180.0,29
9gbUM9oHBNI_557_563,180.0,29
9VG7Elw9TDA_85_91,180.0,29
uVPnDJKt1M0_0_6,180.0,29
9Q0JfdP36kI_167_170,180.0,59
gvVsgOK1iJw_32_38,180.0,29
9IrWyZ0KZuk_160_166,180.0,29
05gNigkqfNU_78_84,180.0,29
9HTUcMjWB3g_122_128,180.0,29
zHy7pM0U49w_103_109,180.0,29
nBFhvrAOFqY_23_29,180.0,29
