_*0 0:00 |the georgia association of the deaf hosted its first ever| 8LCX_1ayqzA
_*78 5:21 |i'ma show you how great i am !| mgmVOuLgFB0
_*79 5:32 |not one man nor a group of men , but in all men ! in you !| mgmVOuLgFB0
_*80 5:35 |you , the people , have the power ,| mgmVOuLgFB0
_*81 5:38 |the power to create machines ,| mgmVOuLgFB0
_*82 5:40 |the power to create happiness| mgmVOuLgFB0
_*83 5:41 |you , the people , have the power to make this life free and beautiful ,| mgmVOuLgFB0
_*84 5:45 |to make this life a wonderful adventure .| mgmVOuLgFB0
_*85 5:48 |now !| mgmVOuLgFB0
_*86 5:48 |what are you gon na do ?| mgmVOuLgFB0
_*87 6:05 |because limits| mgmVOuLgFB0
_*88 6:06 |like fears| mgmVOuLgFB0
_*89 6:08 |are often| mgmVOuLgFB0
_*90 6:09 |just an illusion .| mgmVOuLgFB0
_*91 0:00 |global dialogues| 2AI7PbgnQZI
_*92 0:09 www.globaldialogues.org 2AI7PbgnQZI
_*93 0:23 |quiet . places please .| 2AI7PbgnQZI
_*94 0:26 |one . two . three .| 2AI7PbgnQZI
_*95 0:28 |welcome , ladies and gentlemen , good morning .| 2AI7PbgnQZI
_*96 0:31 |today we are coming to you live from the presidential palace| 2AI7PbgnQZI
_*97 0:34 |where we have the honour of being received by his excellency the president| 2AI7PbgnQZI
_*98 0:38 |for his very first interview as head of state . good morning , sir .| 2AI7PbgnQZI
_*99 0:42 |good morning .| 2AI7PbgnQZI
_*100 0:43 |elected president last week with a large majority , you symbolize hope for our people .| 2AI7PbgnQZI
_*101 0:48 |please tell us what your priorities are .| 2AI7PbgnQZI
_*102 0:50 |we have a lot of work to do in many different areas .| 2AI7PbgnQZI
_*103 0:54 |however , as we stated during the campaign , we will pursue two priority objectives : firstly ...| 2AI7PbgnQZI
_*104 1:00 |hey ! sweetheart , come quick . they 're repeating your interview .| 2AI7PbgnQZI
_*105 1:09 |... and secondly the aids epidemic . we will do all in our power to curb the spread of the virus| 2AI7PbgnQZI
_*106 1:13 |and to improve the lives of our brothers and sisters living with hiv .| 2AI7PbgnQZI
_*107 1:17 |thank you , mister president .| 2AI7PbgnQZI
_*108 1:18 |it 's like a dream ! my husband , president of the republic ! he 's so handsome on screen !| 2AI7PbgnQZI
_*109 1:27 |and he adores the first lady .| 2AI7PbgnQZI
_*110 1:29 |yes of course . we are going to focus primarily on certain key points .| 2AI7PbgnQZI
_*111 1:34 |one of these is how to deal with the rejection ,| 2AI7PbgnQZI
_*112 1:36 |discrimination and stigmatization of people living with hiv .| 2AI7PbgnQZI
_*113 1:40 |how 's your mother ?| 2AI7PbgnQZI
_*114 1:42 |not very well . she 's on a drip , and she 's resting .| 2AI7PbgnQZI
_*115 1:47 |i 'll see her after the round table meeting tomorrow morning .| 2AI7PbgnQZI
_*116 1:50 |i 'm really sorry , and that i 'm going to have to make my trip without you .| 2AI7PbgnQZI
_*117 1:57 |being away without you is ...| 2AI7PbgnQZI
_*118 2:00 |... we must reinforce our system of hiv testing across the country .| 2AI7PbgnQZI
_*119 2:07 |we thank the first lady for her comments ,| 2AI7PbgnQZI
_*120 2:10 |and we are all extremely grateful for her tireless commitment .| 2AI7PbgnQZI
_*121 2:14 |now , ladies and gentlemen , the floor is yours . yes ?| 2AI7PbgnQZI
_*122 2:31 |thank you very much . first lady , fellow participants , good morning .| 2AI7PbgnQZI
_*123 2:40 |first of all i 'd like to thank the first lady for bringing up the question of infidelity within couples .| 2AI7PbgnQZI
_*124 2:48 |of course , in an ideal world , everybody would abstain before marriage ,| 2AI7PbgnQZI
_*125 2:53 |and there 'd be 100 % fidelity in couples .| 2AI7PbgnQZI
_*126 2:57 |but , the fight against aids has to be based on facts ,| 2AI7PbgnQZI
_*127 3:02 |and the actual fact is that a lot of people in couples are not faithful .| 2AI7PbgnQZI
_*128 3:08 |ok , what 's the answer ?| 2AI7PbgnQZI
_*129 3:11 |from a very early age , african girls are taught to be faithful to their husbands .| 2AI7PbgnQZI
_*130 3:15 |let us create a world in which boys are raised with these same values ,| 2AI7PbgnQZI
_*131 3:20 |a world which teaches a boy that a real man is faithful to his wife , whatever the temptation .| 2AI7PbgnQZI
_*132 3:28 |of course , such a huge change will take time , and hiv/aids is a threat to us right now .| 2AI7PbgnQZI
_*133 3:34 |so , we women must take matters into our own hands and protect ourselves .| 2AI7PbgnQZI
_*134 3:38 |sisters , we have got to act !| 2AI7PbgnQZI
_*135 3:44 |we have to see to it that our husbands do not bring hiv into our homes , sisters .| 2AI7PbgnQZI
_*136 3:51 |we have to protect ourselves , and protect our future children .| 2AI7PbgnQZI
_*137 3:55 |what can be done , specifically ?| 2AI7PbgnQZI
_*138 3:58 |first lady , i have a few ideas ... .| 2AI7PbgnQZI
_*139 4:19 |alright ?| 2AI7PbgnQZI
_*140 4:21 |hmm , and you ?| 2AI7PbgnQZI
_*141 4:22 |yes , i 'm fine .| 2AI7PbgnQZI
_*142 4:24 |tell me exactly what the doctor said about your mother ?| 2AI7PbgnQZI
_*143 4:27 |as you know , my mother is a strong woman .| 2AI7PbgnQZI
_*144 4:30 |the doctor wants to keep her in hospital a few more days .| 2AI7PbgnQZI
_*145 4:34 |she 'll be fine . do n't worry .| 2AI7PbgnQZI
_*146 4:37 |ah , here , i 've got you a present .| 2AI7PbgnQZI
_*147 4:42 |wow !| 2AI7PbgnQZI
_*148 4:44 |you 're not allowed to open it until you 're on the plane , you hear .| 2AI7PbgnQZI
_*149 4:47 |what is it ?| 2AI7PbgnQZI
_*150 4:48 |not 'til you 're on board .| 2AI7PbgnQZI
_*151 4:55 |have you seen the article on page three ?| 2AI7PbgnQZI
_*152 4:57 |no .| 2AI7PbgnQZI
_*153 5:30 |hey ! it 's condoms ! hoh !| 2AI7PbgnQZI
_*154 5:46 |here are the documents you asked me to prepare , mister president .| 2AI7PbgnQZI
_*155 5:49 |do you need anything else ?| 2AI7PbgnQZI
_*156 5:52 |no thanks .| 2AI7PbgnQZI
_*157 6:25 |my mobile .| 2AI7PbgnQZI
_*158 6:26 |will you be needing me any more , mister president ?| 2AI7PbgnQZI
_*159 6:29 |that 's all for this evening , thank you .| 2AI7PbgnQZI
_*160 6:53 |hello , ah , good evening my darling .| 2AI7PbgnQZI
_*161 7:00 |no problem .| 2AI7PbgnQZI
_*162 7:02 |how was your day ?| 2AI7PbgnQZI
_*163 7:06 |ah , that 's a relief .| 2AI7PbgnQZI
_*164 7:10 |yes , about the gift that you gave me .| 2AI7PbgnQZI
_*165 7:14 |yes .| 2AI7PbgnQZI
_*166 7:17 |i gave them to my young and extremely unmarried , press spokesman .| 2AI7PbgnQZI
_*167 7:24 |yes ?| 2AI7PbgnQZI
_*168 7:28 |you see , as far as i 'm concerned , my first lady will always be my one and only .| 2AI7PbgnQZI
_*169 7:32 |you need have no worries .| 2AI7PbgnQZI
_*170 7:39 |yes !| 2AI7PbgnQZI
_*171 7:40 www.globaldialogues.org 2AI7PbgnQZI
_*172 0:00 |up hi i 'm thomas and i work for the irs| LUCs8kTzWPo
_*173 0:04 |up are you afraid to file a tax return because you owe money but ca n't pay| LUCs8kTzWPo
_*174 0:09 |up you should n't be| LUCs8kTzWPo
_*175 0:13 |up the irs has several ways to help if you 're having trouble paying| LUCs8kTzWPo
_*176 0:17 up LUCs8kTzWPo
_*177 0:20 |here 's what you need to do go ahead and file a tax return for at least get an| LUCs8kTzWPo
_*178 0:25 |extension of time to file a tax return by the deadline| LUCs8kTzWPo
_*179 0:28 |why because that way you avoid a significant penalty for failure to file| LUCs8kTzWPo
_*180 0:33 |up he should pay what you can with the return| LUCs8kTzWPo
_*181 0:37 |because the balance a subject interest and a monthly penalty for late payment| LUCs8kTzWPo
_*182 0:43 |ok up| LUCs8kTzWPo
_*183 0:48 |then check out the different payment options we offer up| LUCs8kTzWPo
_*184 0:53 |such as a short term extension to pay up| LUCs8kTzWPo
_*185 0:57 |an installment agreement or an offer in compromise| LUCs8kTzWPo
_*186 1:00 up LUCs8kTzWPo
_*187 1:06 |the payments tab on the irs dot gov website is a great place to start| LUCs8kTzWPo
_*188 1:10 ok LUCs8kTzWPo
_*189 1:13 |there you 'll find information on all these options and more work| LUCs8kTzWPo
_*190 0:05 hello CNwbbB_9Xmw
_*191 0:05 |i work in irs are you looking for a job in accounting| CNwbbB_9Xmw
_*192 0:09 |customer service our collections they consider working for the irs| CNwbbB_9Xmw
_*193 0:14 |we 're one of the world 's largest financial institutions| CNwbbB_9Xmw
_*194 0:18 |that includes both the public and private sectors our employees enjoy| CNwbbB_9Xmw
_*195 0:23 |great benefits| CNwbbB_9Xmw
_*196 0:25 |and have lots of opportunities for professional growth| CNwbbB_9Xmw
_*197 0:29 |were trained by experts| CNwbbB_9Xmw
_*198 0:32 |and we work with some other nations| CNwbbB_9Xmw
_*199 0:35 |top tax professionals find out more| CNwbbB_9Xmw
_*200 0:39 |at irs dot cup when you get to the home page| CNwbbB_9Xmw
_*201 0:44 |into the word careers in the keyword search field| CNwbbB_9Xmw
_*202 0:00 |saying this is n't here his aunt| LZOvKHu16gs
_*203 0:04 |in christmases| LZOvKHu16gs
_*204 0:08 |practice said t| LZOvKHu16gs
_*205 0:11 so LZOvKHu16gs
_*206 0:15 colors LZOvKHu16gs
_*207 0:24 pillars LZOvKHu16gs
_*208 0:24 |red when orange| LZOvKHu16gs
_*209 0:29 yellow LZOvKHu16gs
_*210 0:36 me LZOvKHu16gs
_*211 0:39 |be play| LZOvKHu16gs
_*212 0:50 day LZOvKHu16gs
_*213 0:58 members LZOvKHu16gs
_*214 0:59 day LZOvKHu16gs
_*215 1:03 |d enemy| LZOvKHu16gs
_*216 1:08 me LZOvKHu16gs
_*217 1:13 mine LZOvKHu16gs
_*218 1:18 year LZOvKHu16gs
_*219 1:24 decade LZOvKHu16gs
_*220 1:25 mid LZOvKHu16gs
_*221 1:29 hour LZOvKHu16gs
_*222 1:36 |yes maybe| LZOvKHu16gs
_*223 1:40 me LZOvKHu16gs
_*224 1:43 |sometimes is like airplanes| LZOvKHu16gs
_*225 1:46 |be and you 're handsome| LZOvKHu16gs
_*226 1:49 |always jc you be here| LZOvKHu16gs
_*227 1:53 |net here| LZOvKHu16gs
_*228 1:57 |and me beng you i like| LZOvKHu16gs
_*229 2:01 |that good| LZOvKHu16gs
_*230 2:08 |you as| LZOvKHu16gs
_*231 2:13 |but it think this message fine| LZOvKHu16gs
_*232 2:21 |say okay| LZOvKHu16gs
_*233 2:28 |k alright| LZOvKHu16gs
_*234 2:39 |see is| LZOvKHu16gs
_*235 2:40 |like see tension she| LZOvKHu16gs
_*236 2:46 |into and| LZOvKHu16gs
_*237 2:50 |later later| LZOvKHu16gs
_*238 2:55 now LZOvKHu16gs
_*239 3:06 yesterday LZOvKHu16gs
_*240 3:17 sale LZOvKHu16gs
_*241 3:17 |yesterday back in 10 and tomorrow understand| LZOvKHu16gs
_*242 3:27 no LZOvKHu16gs
_*243 3:34 |in engine| LZOvKHu16gs
_*244 3:39 |be is| LZOvKHu16gs
_*245 3:40 |think like| LZOvKHu16gs
_*246 3:44 |mike you like something| LZOvKHu16gs
_*247 3:47 |your his day| LZOvKHu16gs
_*248 3:54 |and say do n't like fan| LZOvKHu16gs
_*249 3:57 |and like hate| LZOvKHu16gs
_*250 4:04 thing LZOvKHu16gs
_*251 4:09 |music see| LZOvKHu16gs
_*252 4:12 |that and| LZOvKHu16gs
_*253 4:19 |be and here| LZOvKHu16gs
_*254 4:22 |like happy| LZOvKHu16gs
_*255 4:26 |and and then| LZOvKHu16gs
_*256 4:32 them LZOvKHu16gs
_*257 4:35 |efficient am| LZOvKHu16gs
_*258 4:38 |and wonderful day| LZOvKHu16gs
_*259 4:46 |week monday tuesday| LZOvKHu16gs
_*260 4:51 |t thursday| LZOvKHu16gs
_*261 4:55 family LZOvKHu16gs
_*262 5:02 friday LZOvKHu16gs
_*263 5:08 |like one| LZOvKHu16gs
_*264 5:08 me LZOvKHu16gs
_*265 5:17 |right you take| LZOvKHu16gs
_*266 5:21 |team you| LZOvKHu16gs
_*267 5:27 wrong LZOvKHu16gs
_*268 5:27 |and and death take you| LZOvKHu16gs
_*269 5:35 |chain he| LZOvKHu16gs
_*270 5:39 use LZOvKHu16gs
_*271 5:47 |day take 9| LZOvKHu16gs
_*272 5:51 |here here| LZOvKHu16gs
_*273 5:55 like LZOvKHu16gs
_*274 6:02 finish LZOvKHu16gs
_*275 6:03 people LZOvKHu16gs
_*276 6:08 2.png LZOvKHu16gs
_*277 6:13 |p people| LZOvKHu16gs
_*278 6:16 |his and same| LZOvKHu16gs
_*279 6:20 |be g| LZOvKHu16gs
_*280 6:30 you LZOvKHu16gs
_*281 6:36 |him way| LZOvKHu16gs
_*282 6:38 when LZOvKHu16gs
_*283 6:43 |take him and| LZOvKHu16gs
_*284 6:48 my LZOvKHu16gs
_*285 6:56 |is you him and| LZOvKHu16gs
_*286 7:02 thing LZOvKHu16gs
_*287 7:15 more LZOvKHu16gs
_*288 7:20 |and again sang| LZOvKHu16gs
_*289 7:30 |french is it a to you t-shaped| LZOvKHu16gs
_*290 7:33 |have inserted turning facing and the| LZOvKHu16gs
_*291 7:42 |light like is the action you can| LZOvKHu16gs
_*292 7:50 |late der| LZOvKHu16gs
_*293 7:54 |is in same| LZOvKHu16gs
_*294 8:04 |is the one shape many things| LZOvKHu16gs
_*295 8:09 |team and| LZOvKHu16gs
_*296 8:13 |the said different| LZOvKHu16gs
_*297 8:25 cia LZOvKHu16gs
_*298 8:26 |you not them here| LZOvKHu16gs
_*299 8:31 |here and something in your brain| LZOvKHu16gs
_*300 8:36 get LZOvKHu16gs
_*301 8:40 |likes said| LZOvKHu16gs
_*302 8:43 |so in not 18| LZOvKHu16gs
_*303 8:52 |say hey| LZOvKHu16gs
_*304 8:56 |him folsom| LZOvKHu16gs
_*305 9:02 |like here are some hold| LZOvKHu16gs
_*306 0:01 |jesus did many wonderful things and many people followed him| UC_NGrhKxnE
_*307 0:06 |jesus was kind healed the sick| UC_NGrhKxnE
_*308 0:09 |and toward god 's way jesus was good| UC_NGrhKxnE
_*309 0:14 |jesus did not see him jesus| UC_NGrhKxnE
_*310 0:17 |always did what god wanted him to do he came to show was god 's love| UC_NGrhKxnE
_*311 0:23 |and to win people back to follow god and walk in god 's ways| UC_NGrhKxnE
_*312 0:28 |but there were influential religious leaders who are very journalists have| UC_NGrhKxnE
_*313 0:33 jesus UC_NGrhKxnE
_*314 0:34 |did not want to admit that they had broken god 's law| UC_NGrhKxnE
_*315 0:38 |and was sinners like the rest of the people their hearts were hard| UC_NGrhKxnE
_*316 0:43 |and they did no one to believe that jesus was sent from god| UC_NGrhKxnE
_*317 0:47 |they told lies about jesus| UC_NGrhKxnE
_*318 0:50 |and had him arrested he was beaten| UC_NGrhKxnE
_*319 0:54 |soldiers placed a crown of thorns on his head| UC_NGrhKxnE
_*320 0:58 |and mocked him jesus could have resisted those| UC_NGrhKxnE
_*321 1:02 |and stop them but he did not resist he had come to the world to become a| UC_NGrhKxnE
_*322 1:08 sacrifice UC_NGrhKxnE
_*323 1:09 |christian his life was going to be sacrificed for the sensible| UC_NGrhKxnE
_*324 1:14 |all people jesus was taking upon himself| UC_NGrhKxnE
_*325 1:18 |the punishment that the people to sir line| UC_NGrhKxnE
_*326 1:31 |the soldiers male jesus to a wooden cross| UC_NGrhKxnE
_*327 1:35 |then they strode across our pride in the ground| UC_NGrhKxnE
_*328 1:38 |and jesus hung there until he died in those days it was the custom to kill the| UC_NGrhKxnE
_*329 1:45 |worst criminals in this crew elway| UC_NGrhKxnE
_*330 1:47 |to criminals were also put on the cross is that day| UC_NGrhKxnE
_*331 1:51 |by jesus was not a criminal he was innocent| UC_NGrhKxnE
_*332 1:55 |he had done no wrong that day he was dying for other people 's sends| UC_NGrhKxnE
_*333 2:01 |not his own he was dying for the singed the people who were alive then| UC_NGrhKxnE
_*334 2:07 |but also for the sins are people who would come later| UC_NGrhKxnE
_*335 2:11 |his death takes away the sins of all who want to turn from their sinful ways| UC_NGrhKxnE
_*336 2:17 |and accept his sacrifices their own sacrifice| UC_NGrhKxnE
_*337 2:20 |when jesus died he made the perfect| UC_NGrhKxnE
_*338 2:24 |sacrifice he paid for the sens| UC_NGrhKxnE
_*339 2:27 |all people with his sentence black god has said| UC_NGrhKxnE
_*340 2:32 |that all other sacrifice is no longer necessary because jesus made the perfect| UC_NGrhKxnE
_*341 2:38 sacrifice UC_NGrhKxnE
_*342 2:48 |the enemies of jesus told that they had destroyed him| UC_NGrhKxnE
_*343 2:51 |but this was not show after jesus died on the cross| UC_NGrhKxnE
_*344 2:56 |a wealthy friend put the body of jesus and jewish| UC_NGrhKxnE
_*345 2:59 |own new burial cave they close the entrance of the cave with a large stone| UC_NGrhKxnE
_*346 3:06 |on the third day early in the morning some women came to the cave| UC_NGrhKxnE
_*347 3:11 |to perform the proper burial customs they were surprised to find a stolen| UC_NGrhKxnE
_*348 3:17 |rolled away| UC_NGrhKxnE
_*349 3:18 |and jesus was not there they were even more surprised to see two angels| UC_NGrhKxnE
_*350 3:24 |who told them that jesus was alive do use messengers from god| UC_NGrhKxnE
_*351 3:29 |told them very clearly that jesus had risen from the dead| UC_NGrhKxnE
_*352 3:33 done UC_NGrhKxnE
_*353 3:39 by UC_NGrhKxnE
_*354 3:43 |after jesus rose from the dead| UC_NGrhKxnE
_*355 3:45 |he began to visit some of his disciples he talked with them| UC_NGrhKxnE
_*356 3:49 |n8 with them thomas one of his disciples| UC_NGrhKxnE
_*357 3:53 |heard said could not believe that jesus was alive again| UC_NGrhKxnE
_*358 3:58 |he said until i see his nail wounds in touch him| UC_NGrhKxnE
_*359 4:02 |i will not believe jesus came to this group to gain| UC_NGrhKxnE
_*360 4:07 |this time when thomas was there jesus spoke directly to thomas| UC_NGrhKxnE
_*361 4:13 |and thomas fell down on his knees before him leaving| UC_NGrhKxnE
_*362 4:16 |jesus said| UC_NGrhKxnE
_*363 4:19 |you believe because you see me| UC_NGrhKxnE
_*364 4:22 |blessed are those who do not see me| UC_NGrhKxnE
_*365 4:26 |and yet believe the in| UC_NGrhKxnE
_*366 4:36 |for forty days after jesus rose from the dead| UC_NGrhKxnE
_*367 4:39 |he appeared to people many people show him and knew that he was alive| UC_NGrhKxnE
_*368 4:45 |nile was time for jesus to go back to heaven| UC_NGrhKxnE
_*369 4:49 |he had finished the work he had come to do| UC_NGrhKxnE
_*370 4:52 |jesus told his followers that they were to go out and tell everyone everywhere| UC_NGrhKxnE
_*371 4:58 |what he had done| UC_NGrhKxnE
_*372 4:59 |then as many others follow was watched| UC_NGrhKxnE
_*373 5:02 |jesus rose off the ground and went higher| UC_NGrhKxnE
_*374 5:06 |and higher until he went into a cloud and disappeared from their site| UC_NGrhKxnE
_*375 5:11 |just then two angels appeared| UC_NGrhKxnE
_*376 5:15 |they told the disciples for jesus would one day return in the same way that he| UC_NGrhKxnE
_*377 5:20 |had left| UC_NGrhKxnE
_*378 5:21 |he is now in heaven preparing a place for all those| UC_NGrhKxnE
_*379 5:26 |who will believe in and follow him| UC_NGrhKxnE
_*380 5:29 |jesus made the way for us| UC_NGrhKxnE
_*381 5:33 |to come to god % uh| UC_NGrhKxnE
_*382 5:38 in UC_NGrhKxnE
_*383 5:42 |why did jesus die across| UC_NGrhKxnE
_*384 5:46 |jesus died to save sinners from the punishment of sin :| UC_NGrhKxnE
_*385 5:51 |jesus never send he died to take away the sender 's separates us from god| UC_NGrhKxnE
_*386 5:58 |across reminds us that jesus was| UC_NGrhKxnE
_*387 6:01 |spotless lamb of god he was sacrificed for us| UC_NGrhKxnE
_*388 6:07 |when we believe in jesus and repent| UC_NGrhKxnE
_*389 6:11 |god forgives our sins jesus makes us god 's children| UC_NGrhKxnE
_*390 6:17 |and his friends| UC_NGrhKxnE
_*391 6:28 |when jesus was alive| UC_NGrhKxnE
_*392 6:29 |he told many stories to help the people understand god 's ways| UC_NGrhKxnE
_*393 6:34 |he taught that there are two roads everyone starts out on a wide road soon| UC_NGrhKxnE
_*394 6:40 |that leads to destruction and punishment| UC_NGrhKxnE
_*395 6:42 |we all have a sinful nature note we inherited from adam the first man| UC_NGrhKxnE
_*396 6:48 |we have send by doing things that are displeasing to god| UC_NGrhKxnE
_*397 6:53 |jesus said that we should leave the wide road| UC_NGrhKxnE
_*398 6:58 |an end to narrow road that leads to god in heaven| UC_NGrhKxnE
_*399 7:01 |we can only enter the narrow road through jesus| UC_NGrhKxnE
_*400 7:05 |we ensure it by repenting over our sins| UC_NGrhKxnE
_*401 7:09 |and accepting that the sacrifice jesus made on the cross| UC_NGrhKxnE
_*402 7:13 |was for our sins why not speak to him now from your heart| UC_NGrhKxnE
_*403 7:18 |say to him god| UC_NGrhKxnE
_*404 7:22 |you are great unholy but i confess to you that i have stood| UC_NGrhKxnE
_*405 7:27 |i believe that jesus died on the cross to pay for my sin| UC_NGrhKxnE
_*406 7:33 |please forgive me clean my heart| UC_NGrhKxnE
_*407 7:36 |and make me wan na be your children i want to follow the wave jesus| UC_NGrhKxnE
_*408 7:41 |and come to live with you when i die| UC_NGrhKxnE
_*409 7:44 |thank you father in| UC_NGrhKxnE
_*410 7:48 |done by| UC_NGrhKxnE
_*411 0:06 me jozhKNUDY_8
_*412 0:06 |0 who hey| jozhKNUDY_8
_*413 0:09 |was surprised to see you here is your son david alright| jozhKNUDY_8
_*414 0:14 |always find active as always ok good| jozhKNUDY_8
_*415 0:18 |such a sweet boy 30 now| jozhKNUDY_8
_*416 0:21 |he 'll be aight soon heat wow and| jozhKNUDY_8
_*417 0:25 |already up to here yeah what| jozhKNUDY_8
_*418 0:28 |bad i wanted me 0 hold on yes| jozhKNUDY_8
_*419 0:32 |i got your letter about the flu hmm| jozhKNUDY_8
_*420 0:37 |right i sent that letter to all the parents to explain what the school is| jozhKNUDY_8
_*421 0:42 doing jozhKNUDY_8
_*422 0:42 |to prevent the flu and if parents have kids who get the flu| jozhKNUDY_8
_*423 0:47 |what they should do take a written right| jozhKNUDY_8
_*424 0:50 |understand how important that is but after reading the letter| jozhKNUDY_8
_*425 0:53 |i had a few questions you want we talk a while sure let down over here| jozhKNUDY_8
